t,source_sat,target_sat,total_duration,total_checkpoint_duration,checkpoint_stats.podman_checkpoint_duration,checkpoint_stats.container_statistics.runtime_checkpoint_duration,checkpoint_stats.container_statistics.criu_statistics.freezing_time,checkpoint_stats.container_statistics.criu_statistics.frozen_time,checkpoint_stats.container_statistics.criu_statistics.memdump_time,checkpoint_stats.container_statistics.criu_statistics.memwrite_time,checkpoint_stats.container_statistics.criu_statistics.pages_scanned,checkpoint_stats.container_statistics.criu_statistics.pages_written,checkpoint_stats.container_statistics.criu_statistics.memdump_time,total_restore_duration,restore_stats.podman_restore_duration,restore_stats.container_statistics.runtime_restore_duration,restore_stats.container_statistics.criu_statistics.forking_time,restore_stats.container_statistics.criu_statistics.pages_restored,restore_stats.container_statistics.criu_statistics.restore_time
1709480382.4746058,34.0.celestial,33.0.celestial,46358295.91751099,12706182.956695557,12346788,1101217,101144,984954,876031,795271,9839943,418981,876031,33652112.96081543,28508479,11147786,4,418981,11055606
1709480461.7917395,33.0.celestial,32.0.celestial,46449332.95249939,13305693.864822388,12936002,1063702,848,1045308,937739,817495,9839943,418981,937739,33143639.087677002,28123853,11117398,4,418981,11018072
1709480545.373547,32.0.celestial,31.0.celestial,45885490.41748047,13098959.922790527,12790274,994709,915,977394,870969,791265,9839943,418981,870969,32786530.49468994,27835032,11028330,4,418981,10933306
1709480628.3511221,31.0.celestial,30.0.celestial,45191383.361816406,11888599.157333374,11559532,1002335,918,986681,878752,797876,9839943,418981,878752,33302784.204483032,28096869,11171083,3,418981,11053365
1709480713.7464664,30.0.celestial,29.0.celestial,47481847.76306152,14368731.97555542,14029234,1083133,1046,1064055,957283,805446,9839943,418981,957283,33113115.787506104,28013013,11166441,4,418981,11084307
1709480791.6571405,29.0.celestial,28.0.celestial,45507427.21557617,12366050.958633423,12000136,1037689,1167,1019469,911314,797399,9839940,418980,911314,33141376.25694275,28068557,11140290,4,418980,11053714
1709480877.3262143,28.0.celestial,27.0.celestial,47066056.72836304,13290217.876434326,12979047,1009390,996,992913,885217,798827,9839940,418980,885217,33775838.85192871,28646540,11409310,4,418980,11317819
1709480961.7911873,27.0.celestial,26.0.celestial,46300904.27398682,12286558.151245117,11922624,1241282,101074,1124844,1016854,863066,9839940,418980,1016854,34014346.1227417,28956447,11773947,4,418980,11694040
1709481046.2275734,26.0.celestial,25.0.celestial,46306735.51559448,12196749.210357666,11881590,1192309,101349,1073538,964238,881069,9839940,418980,964238,34109986.30523682,28829424,11381991,3,418980,11301881
1709481124.7036283,25.0.celestial,24.0.celestial,45567555.42755127,12057779.788970947,11685834,1131971,101568,1014768,907269,782654,9839934,418979,907269,33509775.638580322,28413665,11365784,4,418979,11264106
